SELL.price,SELL.volume
6932.061,5925.86221491
6930.1629,5967.48481491
6930.08298,7014.97483491
6930.07299,7119.02998491
6930.063,14056.02998491
6928.065,20991.02998491
6924.587714766,25387.6926350362
6924.58771452624,26035.850680762
6923.07,26126.717880262
6918.075,35273.738198262
6916.88405674539,35315.9192128206
6913.08,35663.8972256206
6912.02503560042,35701.7362383505
6911.082,35771.7256443505
6910.083,35781.4094443505
6909.718365,35788.3260793505
6908.085,35985.4828944005
6907.8826074951,36014.0490288477
6905.94835251627,37071.7167945484
6905.90449336932,37097.9570886498
6904.832256,37105.2137286754
6904.6884,37188.1661298314
6904.089,37226.1006088314
6903.09,37400.2326088314
6898.027068,38076.9159448314
6898.026126942,81870.0601939848
6896.11698,81877.6535159848
6894.47862,81938.5412861038
6894.12375852669,87114.3098735863
6894.099,87533.6966864763
6893.83810763352,87541.3641664161
6893.59701492756,87618.3034715902
6893.10999,87721.8036215902
6893.1,95161.3312505902
6892.75939885209,95203.5122472442
6892.05366873864,95232.3179960403
6886.45079128458,95251.5130642529
6884.109,95265.2950642529
6883.11,95924.7684515529
6881.112,96276.0564515529
6878.20284410796,96307.678421109
6877.46491042032,96364.2478074107
6877.116,96398.9775874107
6874.119,97105.6624115007
6873.12,97267.3940803007
6871.122,97618.1720803007
6870.91685156379,97625.0498749469
6869.78177921235,97653.7264345975
6869.124,97812.6926785975
6868.71888276276,97854.8736944
6857.12601,100619.754074305
