timestamp,buy_exchange,sell_exchange,profit_usd,volume_usd,volume_btc
1530533616.8212829,bitfinex,livecoin,235.96322840385048,10019.999999999996,1.5791983157277731
1530533616.8212829,bitstamp,livecoin,230.29314173011807,10024.999999999998,1.5790951284729868
1530533616.8212829,cex,livecoin,202.384397924728,10025.0,1.5747974356957448
1530533616.8212829,exmo,livecoin,211.99716125162973,10020.0,1.575507759305126
1530533616.8212829,gdax,livecoin,238.54088304862503,10029.999999999996,1.5811351601768973
1530533616.8212829,kraken,livecoin,221.43062658637265,10025.999999999998,1.577884372633173
1530533631.8480818,bitfinex,livecoin,230.23921439803212,10019.999999999996,1.578316869618225
1530533631.8480818,bitstamp,livecoin,226.74027843107865,10025.0,1.5785480198304307
1530533631.8480818,cex,livecoin,201.74578196671987,10024.999999999998,1.5746990946450221
1530533631.8480818,exmo,livecoin,233.28586116529866,10020.0,1.578786025517817
1530533631.8480818,gdax,livecoin,238.54088304862503,10029.999999999996,1.5811351601768973
1530533631.8480818,kraken,livecoin,220.52757850734383,10026.0,1.577745311440244
1530533646.485528,bitfinex,livecoin,228.88594981141688,10019.999999999998,1.5781084791768583
1530533646.485528,bitstamp,livecoin,220.7683348762706,10024.999999999998,1.5776283948247132
1530533646.485528,cex,livecoin,202.5889007572026,10025.0,1.5748289272724412
1530533646.485528,exmo,livecoin,233.35755610490457,10020.0,1.5787970658866082
1530533646.485528,gdax,livecoin,238.54088304862503,10029.999999999996,1.5811351601768973
1530533646.485528,kraken,livecoin,220.68434992600004,10026.0,1.5777694528132247
1530533669.1075342,bitfinex,livecoin,229.85247397739494,10020.0,1.5782573151100028
1530533669.1075342,bitstamp,livecoin,231.1677122540142,10025.0,1.579229804381367
1530533669.1075342,cex,livecoin,203.6608716271507,10025.000000000002,1.5749940010391903
1530533669.1075342,exmo,livecoin,236.52398162996644,10020.0,1.5792846666257752
1530533669.1075342,gdax,livecoin,238.54088304862503,10029.999999999996,1.5811351601768973
1530533669.1075342,kraken,livecoin,220.9916463242527,10025.999999999996,1.577816773664369
1530533676.5241864,bitfinex,livecoin,231.47421209503426,10019.999999999998,1.5785070480339691
1530533676.5241864,bitstamp,livecoin,231.1305448612575,10024.999999999998,1.579224080940838
1530533676.5241864,cex,livecoin,204.6526798528754,10025.000000000004,1.5751467304876325
1530533676.5241864,exmo,livecoin,233.37879837150018,10019.999999999996,1.5788003370025119
1530533676.5241864,gdax,livecoin,238.54088304862503,10029.999999999996,1.5811351601768973
1530533676.5241864,kraken,livecoin,222.64359080787185,10025.999999999996,1.5780711580940356
1530533691.8776717,bitfinex,livecoin,231.47421209503426,10019.999999999998,1.5785070480339691
1530533691.8776717,bitstamp,livecoin,228.25638742833755,10024.999999999996,1.5787814868303234
1530533691.8776717,cex,livecoin,201.80547450715017,10025.0,1.5747082867534758
1530533691.8776717,exmo,livecoin,234.35681686866639,10020.0,1.5789509429581434
1530533691.8776717,gdax,livecoin,238.54088304862503,10029.999999999996,1.5811351601768973
1530533691.8776717,kraken,livecoin,220.829457805667,10025.999999999996,1.5777917981072553
1530533706.4823503,bitfinex,livecoin,231.47421209503426,10019.999999999998,1.5785070480339691
1530533706.4823503,bitstamp,livecoin,230.88403932683917,10024.999999999998,1.5791861213299645
1530533706.4823503,cex,livecoin,196.53844292494807,10025.000000000002,1.5738972117819123
1530533706.4823503,exmo,livecoin,234.28724489229126,10019.999999999998,1.5789402295063861
1530533706.4823503,gdax,livecoin,238.54088304862503,10029.999999999996,1.5811351601768973
1530533706.4823503,kraken,livecoin,220.88351893971634,10025.999999999996,1.5778001230303316
1530533736.6419568,bitfinex,livecoin,231.41412522576408,10019.999999999998,1.5785070480339691
1530533736.6419568,bitstamp,livecoin,231.59691841572092,10025.0,1.5793051510590903
1530533736.6419568,cex,livecoin,196.66295331966063,10025.0,1.5739256380820583
1530533736.6419568,exmo,livecoin,239.60122098197917,10020.0,1.579767786336755
1530533736.6419568,gdax,livecoin,238.48079617935485,10029.999999999998,1.5811351601768973
1530533736.6419568,kraken,livecoin,221.20029923806496,10025.999999999996,1.5778581571473647
1530533751.9266582,bitfinex,livecoin,228.0076928953872,10020.000000000002,1.5779835076923077
1530533751.9266582,bitstamp,livecoin,227.40672825816608,10024.999999999998,1.578660919138601
1530533751.9266582,cex,livecoin,199.82438607046518,10025.0,1.574413489242577
1530533751.9266582,exmo,livecoin,239.81202684362273,10020.0,1.5798012677858198
1530533751.9266582,gdax,livecoin,237.62018124746066,10030.0,1.5810036525659787
1530533751.9266582,kraken,livecoin,223.14270526262027,10026.0,1.5781582892764145
1530533766.6312547,bitfinex,livecoin,226.06402806417626,10020.0,1.5776852202448568
1530533766.6312547,bitstamp,livecoin,223.44980292033097,10025.0,1.5780526078793173
1530533766.6312547,cex,livecoin,199.67192418984396,10025.000000000002,1.5743910307624562
1530533766.6312547,exmo,livecoin,239.06818331789,10020.0,1.57968774190967
1530533766.6312547,gdax,livecoin,237.39018760998624,10030.0,1.580969254900284
1530533766.6312547,kraken,livecoin,216.2653210603604,10026.0,1.5771002539071741
1530533796.6785614,bitfinex,livecoin,221.10331479249157,10019.999999999998,1.5769213155078194
1530533796.6785614,bitstamp,livecoin,219.6529808435074,10024.999999999998,1.5774679318032518
1530533796.6785614,cex,livecoin,200.6199030247312,10025.0,1.5745370108832413
1530533796.6785614,exmo,livecoin,238.27669748892473,10020.000000000004,1.579565860288837
1530533796.6785614,gdax,livecoin,237.3018118131294,10030.0,1.580955645831152
1530533796.6785614,kraken,livecoin,214.09360882397021,10026.0,1.576765829969728
