8103.99000000,2.69645500,binance,usdt
8103.00000000,0.11835900,binance,usdt
8102.00000000,0.00715800,binance,usdt
8100.14000000,0.74072700,binance,usdt
8100.00000000,0.10624600,binance,usdt
8099.02000000,0.22244700,binance,usdt
8099.00000000,0.28599000,binance,usdt
8098.10000000,3.00000000,binance,usdt
8098.00000000,0.04689400,binance,usdt
8097.00000000,0.21326600,binance,usdt
8096.03000000,0.01101400,binance,usdt
8096.01000000,0.48776300,binance,usdt
8096.00000000,1.26536400,binance,usdt
8095.23000000,1.00000000,binance,usdt
8095.22000000,0.10000000,binance,usdt
8095.21000000,0.38607900,binance,usdt
8095.13000000,0.00476400,binance,usdt
8095.12000000,0.20000000,binance,usdt
8095.04000000,0.60000000,binance,usdt
8095.00000000,0.06347500,binance,usdt
8094.99000000,0.24948600,binance,usdt
8094.60000000,0.01396900,binance,usdt
8093.56000000,0.20000000,binance,usdt
8093.54000000,0.52876400,binance,usdt
8092.19000000,1.00000000,binance,usdt
8091.20000000,0.00567400,binance,usdt
8091.02000000,0.50000000,binance,usdt
8090.80000000,2.03086200,binance,usdt
8090.01000000,0.07295800,binance,usdt
8090.00000000,0.80489800,binance,usdt
8089.01000000,0.03600000,binance,usdt
8089.00000000,0.11964900,binance,usdt
8088.74000000,0.07123800,binance,usdt
8088.00000000,0.93423900,binance,usdt
8087.38000000,0.00927300,binance,usdt
8087.37000000,0.04409500,binance,usdt
8086.72000000,0.00586100,binance,usdt
8085.97000000,0.07370000,binance,usdt
8085.93000000,0.01000000,binance,usdt
8085.67000000,0.50000000,binance,usdt
8085.50000000,0.04800000,binance,usdt
8085.49000000,8.42120000,binance,usdt
8085.06000000,0.00781600,binance,usdt
8085.00000000,0.02619000,binance,usdt
8083.11000000,4.00000000,binance,usdt
8083.00000000,0.07509700,binance,usdt
8082.00000000,4.89707400,binance,usdt
8080.56000000,0.01904000,binance,usdt
8080.00000000,2.99767000,binance,usdt
8079.70000000,2.74000000,binance,usdt
8098.39,1.00000000,bitstamp,usd
8098.38,1.00000000,bitstamp,usd
8098.20,1.00000000,bitstamp,usd
8091.81,1.00000000,bitstamp,usd
8091.79,1.36700000,bitstamp,usd
8090.00,0.02000000,bitstamp,usd
8089.11,8.35200000,bitstamp,usd
8089.10,1.81200000,bitstamp,usd
8086.20,13.00000000,bitstamp,usd
8085.24,0.69240900,bitstamp,usd
8084.36,4.09370000,bitstamp,usd
8084.26,2.00000000,bitstamp,usd
8081.87,0.15952000,bitstamp,usd
8081.05,0.00200000,bitstamp,usd
8080.00,0.02750000,bitstamp,usd
8078.59,2.13400000,bitstamp,usd
8077.20,0.03600000,bitstamp,usd
8076.17,1.00000000,bitstamp,usd
8076.16,0.01000000,bitstamp,usd
8076.14,2.00000000,bitstamp,usd
8075.83,3.91000000,bitstamp,usd
8073.58,1.98700000,bitstamp,usd
8071.78,4.52000000,bitstamp,usd
8070.00,0.02500000,bitstamp,usd
8069.57,0.59500000,bitstamp,usd
8069.05,0.46140000,bitstamp,usd
8068.63,1.21400000,bitstamp,usd
8068.00,3.00000000,bitstamp,usd
8067.41,0.64480000,bitstamp,usd
8067.40,0.04469000,bitstamp,usd
8067.39,6.00000000,bitstamp,usd
8067.00,0.00162182,bitstamp,usd
8066.00,9.80099305,bitstamp,usd
8065.00,0.16000000,bitstamp,usd
8064.15,13.55070000,bitstamp,usd
8063.61,3.32643500,bitstamp,usd
8062.48,0.55400000,bitstamp,usd
8060.01,5.00000000,bitstamp,usd
8060.00,4.02000000,bitstamp,usd
8058.60,3.25100000,bitstamp,usd
8058.56,0.90700000,bitstamp,usd
8054.79,1.12500000,bitstamp,usd
8054.67,5.20000000,bitstamp,usd
8051.00,0.50000000,bitstamp,usd
8050.98,1.29480000,bitstamp,usd
8050.96,12.17100000,bitstamp,usd
8050.00,1.02000000,bitstamp,usd
8049.83,4.00000000,bitstamp,usd
8049.22,12.55000000,bitstamp,usd
8047.70,0.05000000,bitstamp,usd
8080.0,0.04976302,cex,usd
8079.9,0.08179433,cex,usd
8079.1,0.29,cex,usd
8078.8,0.867,cex,usd
8078.3,0.5,cex,usd
8070.5,0.0370894,cex,usd
8070.1,0.3,cex,usd
8070.0,0.40430856,cex,usd
