symbol,from,to
ONION-ETH,ONION,ETH
ONT-BTC,ONT,BTC
ONT-ETH,ONT,ETH
ONT-NEO,ONT,NEO
PARETO-BTC,PARETO,BTC
PARETO-ETH,PARETO,ETH
PAY-BTC,PAY,BTC
PAY-ETH,PAY,ETH
PBL-BTC,PBL,BTC
PBL-ETH,PBL,ETH
PLAY-BTC,PLAY,BTC
PLAY-ETH,PLAY,ETH
POE-BTC,POE,BTC
POE-ETH,POE,ETH
POLL-BTC,POLL,BTC
POLL-ETH,POLL,ETH
POLY-BTC,POLY,BTC
POLY-ETH,POLY,ETH
POWR-BTC,POWR,BTC
POWR-ETH,POWR,ETH
PPT-BTC,PPT,BTC
PPT-ETH,PPT,ETH
PRL-BTC,PRL,BTC
PRL-ETH,PRL,ETH
PRL-NEO,PRL,NEO
PURA-BTC,PURA,BTC
PURA-ETH,PURA,ETH
QLC-BTC,QLC,BTC
QLC-ETH,QLC,ETH
QLC-NEO,QLC,NEO
QSP-BTC,QSP,BTC
QSP-ETH,QSP,ETH
QTUM-BTC,QTUM,BTC
R-BTC,R,BTC
R-ETH,R,ETH
RDN-BTC,RDN,BTC
RDN-ETH,RDN,ETH
REQ-BTC,REQ,BTC
REQ-ETH,REQ,ETH
RHOC-BTC,RHOC,BTC
RHOC-ETH,RHOC,ETH
RPX-BTC,RPX,BTC
RPX-ETH,RPX,ETH
RPX-KCS,RPX,KCS
RPX-NEO,RPX,NEO
SAY-BTC,SAY,BTC
SAY-ETH,SAY,ETH
SNC-BTC,SNC,BTC
SNC-ETH,SNC,ETH
SNM-BTC,SNM,BTC
SNM-ETH,SNM,ETH
SNOV-BTC,SNOV,BTC
SNOV-ETH,SNOV,ETH
SNT-BTC,SNT,BTC
SNT-ETH,SNT,ETH
SPF-BTC,SPF,BTC
SPF-ETH,SPF,ETH
SPHTX-BTC,SPHTX,BTC
SPHTX-ETH,SPHTX,ETH
STK-BTC,STK,BTC
STK-ETH,STK,ETH
STX-BTC,STX,BTC
STX-ETH,STX,ETH
SUB-BTC,SUB,BTC
SUB-ETH,SUB,ETH
TEL-BTC,TEL,BTC
TEL-ETH,TEL,ETH
TFL-BTC,TFL,BTC
TFL-ETH,TFL,ETH
TIME-BTC,TIME,BTC
TIME-ETH,TIME,ETH
TIO-BTC,TIO,BTC
TIO-ETH,TIO,ETH
TKY-BTC,TKY,BTC
TKY-ETH,TKY,ETH
TKY-NEO,TKY,NEO
TNC-BTC,TNC,BTC
TNC-ETH,TNC,ETH
TNC-NEO,TNC,NEO
TRAC-BTC,TRAC,BTC
TRAC-ETH,TRAC,ETH
UKG-BTC,UKG,BTC
UKG-ETH,UKG,ETH
UTK-BTC,UTK,BTC
UTK-ETH,UTK,ETH
VEN-BTC,VEN,BTC
VEN-ETH,VEN,ETH
WAX-BTC,WAX,BTC
WAX-ETH,WAX,ETH
WTC-BTC,WTC,BTC
XAS-BTC,XAS,BTC
XAS-ETH,XAS,ETH
XLR-BTC,XLR,BTC
XLR-ETH,XLR,ETH
XRB-BTC,XRB,BTC
XRB-ETH,XRB,ETH
XRB-USDT,XRB,USDT
ZIL-BTC,ZIL,BTC
ZIL-ETH,ZIL,ETH
ZPT-BTC,ZPT,BTC
ZPT-ETH,ZPT,ETH
ZPT-NEO,ZPT,NEO
